Operation	Max(MiB)	Min(MiB)	Mean(MiB)	StdDev	Mean(s)	Test	Tasks	tPN	reps	fPP	reord	reordoff	reordrand	seed	segcnt	blksiz	xsize	aggsize	API	RefNum
write	48.04	43.20	46.75	1.27	1.37011	0	1	1	10	1	0	1	0	0	1	67108864	1048576	67108864	IOD	0
read	69.18	66.46	68.26	0.75	0.93768	0	1	1	10	1	1	1	0	0	1	67108864	1048576	67108864	IOD	0
write	37.51	23.68	28.76	4.15	2.26766	0	1	1	10	1	0	1	0	0	1	67108864	1048576	67108864	IOD	0
read	67.80	67.80	67.80	0.00	0.94392	0	1	1	1	1	0	1	0	0	1	67108864	1048576	67108864	IOD	0
write	94.57	36.38	82.64	17.81	1.68214	0	2	1	10	1	0	1	0	0	1	67108864	1048576	134217728	IOD	0
read	138.75	104.90	130.30	11.65	0.99149	0	2	1	10	1	1	1	0	0	1	67108864	1048576	134217728	IOD	0
write	74.67	45.60	58.18	7.54	2.23548	0	2	1	10	1	0	1	0	0	1	67108864	1048576	134217728	IOD	0
read	134.62	134.62	134.62	0.00	0.95083	0	2	1	1	1	0	1	0	0	1	67108864	1048576	134217728	IOD	0
write	142.36	82.28	120.42	18.13	2.18273	0	4	1	10	1	0	1	0	0	1	67108864	1048576	268435456	IOD	0
read	219.63	127.37	183.25	37.37	1.46359	0	4	1	10	1	1	1	0	0	1	67108864	1048576	268435456	IOD	0
write	113.31	29.80	89.27	22.65	3.29951	0	4	1	10	1	0	1	0	0	1	67108864	1048576	268435456	IOD	0
read	217.47	217.47	217.47	0.00	1.17719	0	4	1	1	1	0	1	0	0	1	67108864	1048576	268435456	IOD	0
write	251.97	73.28	185.96	60.68	3.29244	0	8	1	10	1	0	1	0	0	1	67108864	1048576	536870912	IOD	0
read	418.94	172.45	289.29	66.29	1.87241	0	8	1	10	1	1	1	0	0	1	67108864	1048576	536870912	IOD	0
write	172.77	114.45	144.30	17.54	3.60432	0	8	1	10	1	0	1	0	0	1	67108864	1048576	536870912	IOD	0
read	289.95	289.95	289.95	0.00	1.76582	0	8	1	1	1	0	1	0	0	1	67108864	1048576	536870912	IOD	0
write	335.72	77.89	243.18	72.69	4.98103	0	16	1	10	1	0	1	0	0	1	67108864	1048576	1073741824	IOD	0
read	438.50	253.33	350.43	65.79	3.03389	0	16	1	10	1	1	1	0	0	1	67108864	1048576	1073741824	IOD	0
write	230.19	77.22	184.73	43.58	6.10093	0	16	1	10	1	0	1	0	0	1	67108864	1048576	1073741824	IOD	0
read	295.56	295.56	295.56	0.00	3.46458	0	16	1	1	1	0	1	0	0	1	67108864	1048576	1073741824	IOD	0
write	346.18	156.09	233.32	58.54	9.34267	0	32	1	10	1	0	1	0	0	1	67108864	1048576	2147483648	IOD	0
read	500.68	322.94	388.51	56.50	5.37984	0	32	1	10	1	1	1	0	0	1	67108864	1048576	2147483648	IOD	0
write	318.05	194.55	243.39	34.50	8.57443	0	32	1	10	1	0	1	0	0	1	67108864	1048576	2147483648	IOD	0
read	441.16	441.16	441.16	0.00	4.64229	0	32	1	1	1	0	1	0	0	1	67108864	1048576	2147483648	IOD	0
write	361.36	161.95	248.10	56.85	17.42676	0	64	2	10	1	0	1	0	0	1	67108864	1048576	4294967296	IOD	0
read	372.75	125.06	248.48	83.20	18.76925	0	64	2	10	1	1	1	0	0	1	67108864	1048576	4294967296	IOD	0
write	306.53	133.01	215.81	59.95	20.55603	0	64	2	10	1	0	1	0	0	1	67108864	1048576	4294967296	IOD	0
read	144.10	144.10	144.10	0.00	28.42526	0	64	2	1	1	0	1	0	0	1	67108864	1048576	4294967296	IOD	0
write	248.71	167.80	211.49	29.69	39.55522	0	128	4	10	1	0	1	0	0	1	67108864	1048576	8589934592	IOD	0
read	332.96	131.13	204.66	64.74	43.60052	0	128	4	10	1	1	1	0	0	1	67108864	1048576	8589934592	IOD	0
write	334.50	136.15	203.56	58.80	43.31269	0	128	4	10	1	0	1	0	0	1	67108864	1048576	8589934592	IOD	0
read	124.36	124.36	124.36	0.00	65.87446	0	128	4	1	1	0	1	0	0	1	67108864	1048576	8589934592	IOD	0
write	206.97	140.91	169.88	21.70	97.97678	0	256	8	10	1	0	1	0	0	1	67108864	1048576	17179869184	IOD	0
read	222.43	133.44	165.59	24.35	100.88738	0	256	8	10	1	1	1	0	0	1	67108864	1048576	17179869184	IOD	0
write	268.10	153.16	192.79	36.34	87.63701	0	256	8	10	1	0	1	0	0	1	67108864	1048576	17179869184	IOD	0
read	162.64	162.64	162.64	0.00	100.74022	0	256	8	1	1	0	1	0	0	1	67108864	1048576	17179869184	IOD	0
